Round,NSL-KDD,KDDCup99-SF,NetIntrusion,CICIDS2017,UNSW-NB15
1,0.99,0.9694,0.9909,0.9929,0.9947
2,0.9892,0.9744,0.9913,0.9928,0.9958
3,0.9906,0.9759,0.9907,0.9929,0.997
4,0.9907,0.9783,0.9907,0.9928,0.9967
5,0.9912,0.9695,0.992,0.9931,0.997
6,0.9899,0.9831,0.9901,0.9934,0.9967
7,0.989,0.973,0.9894,0.9932,0.9979
8,0.9892,0.9747,0.9922,0.9932,0.9982
9,0.9905,0.9729,0.9911,0.994,0.9975
10,0.9899,0.9781,0.9909,0.9934,0.9974
