sigma,q,R,alpha,delta,RDP_per_round,RDP_total,epsilon_total,Assessment
0.5,0.01,10,10,1e-05,0.2,2.0,3.2792,Weak protection
1.0,0.01,10,10,1e-05,0.05,0.5,1.7792,Acceptable
1.5,0.01,10,10,1e-05,0.022222,0.222222,1.5014,Good
2.0,0.01,10,10,1e-05,0.00125,0.0125,1.2917,Operational (selected)
3.0,0.01,10,10,1e-05,0.000556,0.005556,1.2847,Strong (marginal gain)
