dataset,variant,f1,auc,precision,recall
CERT_r4.2,Legacy-Only,0.7841,0.9102,0.7913,0.7771
CERT_r4.2,+PBI,0.8214,0.9389,0.8301,0.8129
CERT_r4.2,+PBI+AIF,0.8419,0.9531,0.8502,0.8338
CERT_r4.2,Full SENTINEL,0.8531,0.9601,0.8712,0.8357
CERT_r6.2,Legacy-Only,0.7992,0.9241,0.8071,0.7915
CERT_r6.2,+PBI,0.8311,0.9463,0.8397,0.8227
CERT_r6.2,+PBI+AIF,0.8448,0.9589,0.8531,0.8367
CERT_r6.2,Full SENTINEL,0.852,0.9693,0.8641,0.8402
