dataset,base_f1,mirror_f1,delta_f1,base_auc,mirror_auc
NSL-KDD,0.9994,0.9994,0.0,1.0,1.0
KDDCup99-SF,0.9974,0.9974,0.0,1.0,1.0
NetIntrusion,0.9893,0.9902,0.001,0.9996,0.9996
