dataset,f1,auc,precision,recall
CERT_r4.2,0.8531,0.9601,0.8712,0.8357
CERT_r6.2,0.852,0.9693,0.8641,0.8402
CERT_r5.2,0.7317,0.9127,0.7489,0.7152
