dataset,poison_rate,f1_clean,f1_byzantine,f1_retention,pass
CERT_r4.2,0.1,0.8531,0.8349,0.9787,True
CERT_r4.2,0.2,0.8531,0.8101,0.9496,True
CERT_r4.2,0.3,0.8531,0.7712,0.9040,True
CERT_r6.2,0.1,0.852,0.8341,0.9790,True
CERT_r6.2,0.2,0.852,0.8092,0.9497,True
CERT_r6.2,0.3,0.852,0.7698,0.9034,True
CERT_r5.2,0.1,0.7317,0.7189,0.9825,True
CERT_r5.2,0.2,0.7317,0.6934,0.9477,True
CERT_r5.2,0.3,0.7317,0.6612,0.9037,True
