dataset,sigma,epsilon,f1,auc,precision,recall
CERT_r4.2,0.5,6.24,0.8714,0.9702,0.8831,0.8601
CERT_r4.2,1.0,3.12,0.8531,0.9601,0.8712,0.8357
CERT_r4.2,2.0,1.56,0.8273,0.9441,0.8392,0.8157
CERT_r4.2,4.0,0.78,0.7812,0.9189,0.7941,0.7687
CERT_r4.2,8.0,0.39,0.6934,0.8712,0.7089,0.6782
