archetype,isolated_f1,federated_f1,gain_pct
Morning Bird,0.9755,0.9886,1.34
Collaborator,0.9630,0.9902,2.83
Balanced,0.9675,0.9923,2.57
Workaholic,0.9822,0.9940,1.20
Night Owl,0.9902,0.9960,0.59
Tech Savvy,0.9822,0.9960,1.41
Careful Planner,0.9848,0.9962,1.16
Lone Wolf,0.9790,0.9962,1.76
Workaholic_8,0.9756,0.9919,1.67
Social Butterfly,0.9791,0.9905,1.16
