Metric,Value
Training time per round (s),0.187
Total training time (R=10 rounds s),1.87
Inference latency per sample (ms),0.0086
Inference throughput (samples/s),115911
Prototype size per node (KB),0.16
Communication per round (KB),1.64
Total communication R=10 (KB),16.41
LightGBM trees,200
